province_id,province,year,GINIW_province,gdppc
62,Lop Buri,2017,0.028160155,82539
62,Lop Buri,2018,0.030871928,83031
62,Lop Buri,2019,0.031102745,83919
62,Lop Buri,2020,0.030005259,78844
62,Lop Buri,2021,0.02792576,80665
74,Mae Hong Son,2014,0.034230594,26304
74,Mae Hong Son,2015,0.035629697,28693
74,Mae Hong Son,2016,0.034758568,28707
74,Mae Hong Son,2017,0.031964067,29146
74,Mae Hong Son,2018,0.027365057,29962
74,Mae Hong Son,2019,0.029716698,33013
74,Mae Hong Son,2020,0.03029298,32213
74,Mae Hong Son,2021,0.028788563,32398
46,Maha Sarakham,2014,0.031943791,36376
46,Maha Sarakham,2015,0.028229024,37601
46,Maha Sarakham,2016,0.030695619,40039
46,Maha Sarakham,2017,0.024703788,42048
46,Maha Sarakham,2018,0.024195829,43423
46,Maha Sarakham,2019,0.024327639,42999
46,Maha Sarakham,2020,0.022058917,45127
46,Maha Sarakham,2021,0.020057576,47658
61,Mukdahan,2014,0.037676301,37293
61,Mukdahan,2015,0.035635922,37961
61,Mukdahan,2016,0.037931271,38476
61,Mukdahan,2017,0.031250507,40794
61,Mukdahan,2018,0.031831976,40916
61,Mukdahan,2019,0.032232255,42241
61,Mukdahan,2020,0.028343348,38998
61,Mukdahan,2021,0.026063023,41550
60,Nakhon Nayok,2014,0.020839641,58634
60,Nakhon Nayok,2015,0.018529067,59875
60,Nakhon Nayok,2016,0.019998543,61453
60,Nakhon Nayok,2017,0.019209526,62864
60,Nakhon Nayok,2018,0.019333364,69776
60,Nakhon Nayok,2019,0.019027438,70392
60,Nakhon Nayok,2020,0.018888561,71215
60,Nakhon Nayok,2021,0.018109679,68737
27,Nakhon Pathom,2014,0.021471683,188182
27,Nakhon Pathom,2015,0.020279871,194626
27,Nakhon Pathom,2016,0.020559261,196247
27,Nakhon Pathom,2017,0.01974489,191392
27,Nakhon Pathom,2018,0.018798932,196303
27,Nakhon Pathom,2019,0.018422941,196458
27,Nakhon Pathom,2020,0.018252427,189214
27,Nakhon Pathom,2021,0.017892729,193098
72,Nakhon Phanom,2014,0.044918984,38520
72,Nakhon Phanom,2015,0.042603537,39901
72,Nakhon Phanom,2016,0.045540433,42592
72,Nakhon Phanom,2017,0.033965603,43106
72,Nakhon Phanom,2018,0.035164211,42357
72,Nakhon Phanom,2019,0.036625348,43571
72,Nakhon Phanom,2020,0.032364871,45384
72,Nakhon Phanom,2021,0.029796029,47522
6,Nakhon Ratchasima,2014,0.051277563,63828
6,Nakhon Ratchasima,2015,0.047661822,64849
6,Nakhon Ratchasima,2016,0.047718976,67081
6,Nakhon Ratchasima,2017,0.043079477,70361
6,Nakhon Ratchasima,2018,0.042939492,74548
6,Nakhon Ratchasima,2019,0.042628258,74036
6,Nakhon Ratchasima,2020,0.041589856,73377
6,Nakhon Ratchasima,2021,0.039979566,77540
2,Nakhon Sawan,2014,0.041868519,63448
2,Nakhon Sawan,2015,0.036831375,61903
2,Nakhon Sawan,2016,0.03910185,58936
2,Nakhon Sawan,2017,0.03507679,62617
2,Nakhon Sawan,2018,0.034980491,67569
2,Nakhon Sawan,2019,0.035495114,67266
2,Nakhon Sawan,2020,0.033711977,63684
2,Nakhon Sawan,2021,0.032623764,63686
59,Nakhon Si Thammarat,2014,0.043505482,61396
59,Nakhon Si Thammarat,2015,0.043502208,60521
59,Nakhon Si Thammarat,2016,0.042316765,61365
59,Nakhon Si Thammarat,2017,0.039981388,62899
59,Nakhon Si Thammarat,2018,0.039858378,64141
59,Nakhon Si Thammarat,2019,0.039784055,69235
59,Nakhon Si Thammarat,2020,0.038353465,68881
59,Nakhon Si Thammarat,2021,0.036233112,69614
70,Nan,2014,0.055460684,34747
70,Nan,2015,0.054000609,36811
70,Nan,2016,0.057610758,38033
70,Nan,2017,0.048959035,39488
70,Nan,2018,0.048923604,41737
70,Nan,2019,0.043220252,41673
70,Nan,2020,0.03931858,42102
70,Nan,2021,0.039458979,43326
40,Narathiwat,2014,0.041065291,30429
40,Narathiwat,2015,0.041339822,29731
40,Narathiwat,2016,0.040620677,30392
40,Narathiwat,2017,0.03903567,28392
40,Narathiwat,2018,0.036935117,31950
40,Narathiwat,2019,0.038139198,31364
40,Narathiwat,2020,0.034844119,29346
40,Narathiwat,2021,0.035571184,30536
13,Nong Khai,2014,0.046161126,47123
13,Nong Khai,2015,0.042243198,49190
13,Nong Khai,2016,0.044089559,50827
13,Nong Khai,2017,0.03592417,51934
13,Nong Khai,2018,0.036593921,51596
13,Nong Khai,2019,0.037664972,52434
13,Nong Khai,2020,0.033740975,53053
13,Nong Khai,2021,0.032658122,55156
3,Nongbua Lamphu,2014,0.032206487,31808
3,Nongbua Lamphu,2015,0.026304038,32901
3,Nongbua Lamphu,2016,0.027814759,35266
3,Nongbua Lamphu,2017,0.022093225,35733
3,Nongbua Lamphu,2018,0.02155217,38814
