province_id,province,gdp,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Yasothon,Agriculture,1521.108513,1322.013743,1506.713366,1703.802947,1760.747095,1880.03126,1956.380473,1645.985374,1976.22174,1801.860633,1831.357086,1807.644033,2025.042094,2060.847346,2075.619291,2700.949496,3038.765016,2967.712666,3030.779765,3200.563222,3063.357749,3189.244768,3200.946901,3561.352682,3132.823731,3763.729908,3736.354291
41,Ubon Ratchathani,Agriculture,4638.999229,4548.293895,4668.180933,4950.687734,5287.584414,5701.250286,6569.03178,5780.856202,6725.313701,6671.226391,6543.781578,6741.171514,7249.908191,7242.618936,7387.115368,8393.879513,10086.74458,11104.58611,11039.82902,10332.43131,10884.40515,11464.77554,12216.52357,12653.53913,11910.18328,13468.96861,13752.68431
0,Roi Et,Agriculture,3550.912028,3603.970871,4225.594848,3921.662534,4117.038672,4322.316584,4959.635645,4261.008344,4891.635534,4736.156239,4777.256136,4878.228484,5173.758217,5159.892384,5274.503325,6364.768638,6041.321886,5834.852724,6121.307276,6678.849992,6470.082825,6764.129259,6529.007032,6762.637011,5791.065111,6714.288457,6959.287873
35,Buri Ram,Agriculture,5680.882321,5697.617228,5298.816519,5556.223638,5871.122678,6381.239571,6271.647754,5904.152574,6884.860539,6698.313229,7000.514327,7241.042004,7680.212356,7855.71276,7918.82514,8702.828173,9401.895189,8052.416334,8212.790712,8930.127715,9024.609861,9189.24751,9284.588592,9030.957356,8897.012976,10003.48099,10323.21889
5,Surin,Agriculture,4603.073583,4444.596622,4613.705625,4444.040539,4482.383464,5088.809064,5258.314536,4891.646225,5770.595366,5722.360213,5803.094045,5910.032818,6483.871445,6589.546853,6779.580607,7206.373218,7976.990984,7301.658329,7292.258884,7604.380888,7976.578521,8134.731215,8188.780384,8678.86806,8312.23404,9272.461699,9499.826981
46,Maha Sarakham,Agriculture,3104.529838,3051.686673,3241.604056,3115.175297,3365.705983,3487.079184,4075.212941,3581.616194,4305.244067,4118.176468,4164.930671,4158.468612,4578.597707,4616.572939,4621.155796,5031.212778,5777.097495,5406.285356,5012.504385,5792.295259,5202.072238,5428.999715,5556.994286,5653.99072,5321.806921,5992.232393,6311.139105
12,Si Sa Ket,Agriculture,5214.279245,4821.138276,5093.307783,4401.768766,4556.738401,4855.562071,5594.309531,5014.413113,6226.368932,5851.96186,5885.308058,6069.191,6245.52053,6376.003583,6145.596064,7628.902386,8240.286259,8432.503757,7764.057317,8186.690507,8424.811246,8942.210376,9294.538786,9823.820069,8557.786713,9601.117296,9772.237102
3,Nongbua Lamphu,Agriculture,1616.455175,1554.419759,1363.038744,1463.633146,1531.611344,1609.096409,1837.389262,1660.161824,2171.042626,2114.092717,2058.378001,2180.234709,2227.802977,2301.305364,2334.790363,2485.21394,2930.536927,2571.0333,2614.416748,2728.391821,2807.277697,2938.868997,3057.646171,3463.775692,3185.419397,2887.485577,3104.38049
67,Amnat Chareon,Agriculture,1173.45996,1279.979542,1072.520991,1141.648511,1200.829412,1333.551974,1397.676372,1254.783575,1529.774453,1459.942158,1486.107332,1424.263328,1556.020661,1487.92126,1587.634004,1759.170536,1873.976432,1686.669818,1894.154218,1894.818663,2026.935792,2130.449452,2302.658999,2604.173416,2416.570272,2657.233521,2689.839473
39,Bueng Kan,Agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9577.157824,11616.74584,13047.89166,11906.76344,15510.55829,16566.00734,18205.88866,18150.2991,18938.60032,19118.70519,19550.39175
