TABLE_DESC_ENG,UNIT1E,NOTE1E,SOURCE_ENG1,Year,Quarter,Region,Province,Education,SORT_ID,Education Detail,Sex,?????
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 1,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,373088.94
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 1,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,111779.65
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2209809.77
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,409448.02
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,135139.63
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2197956.34
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,409973.93
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,137923.74
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2215537.69
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,378682.28
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,142635.02
