TABLE_DESC_ENG,UNIT1E,NOTE1E,SOURCE_ENG1,Year,Quarter,Region,Province,Education,SORT_ID,Education Detail,Sex,?????
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Udon Thani,    Higher education,4,    Academic,Total,49930.79
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Udon Thani,    Higher education,5,    Technical Education,Total,28485.31
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Udon Thani,    Higher education,6,    Teacher Training,Total,15372.17
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Loei,    Higher education,4,    Academic,Total,19729.19
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Loei,    Higher education,5,    Technical Education,Total,8580.62
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Loei,    Higher education,6,    Teacher Training,Total,8872.3
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Nong Khai,    Higher education,4,    Academic,Total,16540.03
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Nong Khai,    Higher education,5,    Technical Education,Total,19625.06
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Nong Khai,    Higher education,6,    Teacher Training,Total,11057.36
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Maha Sarakham,    Higher education,4,    Academic,Total,34895.37
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Maha Sarakham,    Higher education,5,    Technical Education,Total,15419.57
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Maha Sarakham,    Higher education,6,    Teacher Training,Total,12085
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Roi Et,    Higher education,4,    Academic,Total,33691.58
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Roi Et,    Higher education,5,    Technical Education,Total,30627.15
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Roi Et,    Higher education,6,    Teacher Training,Total,22260.05
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Kalasin,    Higher education,4,    Academic,Total,24245.89
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Kalasin,    Higher education,5,    Technical Education,Total,23737.24
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Kalasin,    Higher education,6,    Teacher Training,Total,12566.78
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Sakon Nakhon,    Higher education,4,    Academic,Total,23199.37
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Sakon Nakhon,    Higher education,5,    Technical Education,Total,20822.94
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Sakon Nakhon,    Higher education,6,    Teacher Training,Total,14700.59
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Nakhon Phanom,    Higher education,4,    Academic,Total,19434.11
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Nakhon Phanom,    Higher education,5,    Technical Education,Total,15452.59
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Nakhon Phanom,    Higher education,6,    Teacher Training,Total,9024.3
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Mukdahan,    Higher education,4,    Academic,Total,14859.55
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Mukdahan,    Higher education,5,    Technical Education,Total,11167.11
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 2,Northeastern  Region,Mukdahan,    Higher education,6,    Teacher Training,Total,6152.38
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Northeastern Region,    Higher education,4,    Academic,Total,662255.15
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Northeastern Region,    Higher education,5,    Technical Education,Total,449348.35
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Northeastern Region,    Higher education,6,    Teacher Training,Total,294529.5
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Nakhon Ratchasima,    Higher education,4,    Academic,Total,139492.08
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Nakhon Ratchasima,    Higher education,5,    Technical Education,Total,79297.37
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Nakhon Ratchasima,    Higher education,6,    Teacher Training,Total,31043.4
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Buri Ram,    Higher education,4,    Academic,Total,39578.39
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Buri Ram,    Higher education,5,    Technical Education,Total,14804.45
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Buri Ram,    Higher education,6,    Teacher Training,Total,27676.85
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Surin,    Higher education,4,    Academic,Total,39625.17
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Surin,    Higher education,5,    Technical Education,Total,16160.21
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Surin,    Higher education,6,    Teacher Training,Total,20868.96
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Si Sa Ket,    Higher education,4,    Academic,Total,26862.55
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Si Sa Ket,    Higher education,5,    Technical Education,Total,10998.53
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Si Sa Ket,    Higher education,6,    Teacher Training,Total,13668.56
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Ubon Ratchathani,    Higher education,4,    Academic,Total,63482.97
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Ubon Ratchathani,    Higher education,5,    Technical Education,Total,44550.38
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Ubon Ratchathani,    Higher education,6,    Teacher Training,Total,21165.69
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Yasothon,    Higher education,4,    Academic,Total,14278.35
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Yasothon,    Higher education,5,    Technical Education,Total,7118.69
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Yasothon,    Higher education,6,    Teacher Training,Total,6790.7
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Chaiyaphum,    Higher education,4,    Academic,Total,29280.65
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Chaiyaphum,    Higher education,5,    Technical Education,Total,25260.86
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Chaiyaphum,    Higher education,6,    Teacher Training,Total,14770.78
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Amnat Charoen,    Higher education,4,    Academic,Total,8819.24
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Amnat Charoen,    Higher education,5,    Technical Education,Total,8259.21
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Amnat Charoen,    Higher education,6,    Teacher Training,Total,3587
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Bueng Kan,    Higher education,4,    Academic,Total,8735.19
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Bueng Kan,    Higher education,5,    Technical Education,Total,5793.06
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Bueng Kan,    Higher education,6,    Teacher Training,Total,5026.83
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Nong Bua Lam Phu,    Higher education,4,    Academic,Total,16779.66
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Nong Bua Lam Phu,    Higher education,5,    Technical Education,Total,8715.12
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Nong Bua Lam Phu,    Higher education,6,    Teacher Training,Total,8709.73
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Khon Kaen,    Higher education,4,    Academic,Total,67168.97
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Khon Kaen,    Higher education,5,    Technical Education,Total,55430.7
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Khon Kaen,    Higher education,6,    Teacher Training,Total,28365.69
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Udon Thani,    Higher education,4,    Academic,Total,36061.67
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Udon Thani,    Higher education,5,    Technical Education,Total,28593.05
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Udon Thani,    Higher education,6,    Teacher Training,Total,12396.13
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Loei,    Higher education,4,    Academic,Total,20432.56
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Loei,    Higher education,5,    Technical Education,Total,10549.51
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Loei,    Higher education,6,    Teacher Training,Total,9712.19
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Nong Khai,    Higher education,4,    Academic,Total,16518.97
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Nong Khai,    Higher education,5,    Technical Education,Total,21570.21
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Nong Khai,    Higher education,6,    Teacher Training,Total,10574.75
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Maha Sarakham,    Higher education,4,    Academic,Total,34428.33
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Maha Sarakham,    Higher education,5,    Technical Education,Total,13479.19
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Maha Sarakham,    Higher education,6,    Teacher Training,Total,17382.5
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Roi Et,    Higher education,4,    Academic,Total,27952.24
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Roi Et,    Higher education,5,    Technical Education,Total,27099.21
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Roi Et,    Higher education,6,    Teacher Training,Total,24731.35
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Kalasin,    Higher education,4,    Academic,Total,23147.7
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Kalasin,    Higher education,5,    Technical Education,Total,19957.64
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Kalasin,    Higher education,6,    Teacher Training,Total,12531.9
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Sakon Nakhon,    Higher education,4,    Academic,Total,18191.01
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Sakon Nakhon,    Higher education,5,    Technical Education,Total,26741.1
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Sakon Nakhon,    Higher education,6,    Teacher Training,Total,10814.97
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Nakhon Phanom,    Higher education,4,    Academic,Total,18778.87
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Nakhon Phanom,    Higher education,5,    Technical Education,Total,16965.25
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Nakhon Phanom,    Higher education,6,    Teacher Training,Total,9828.09
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Mukdahan,    Higher education,4,    Academic,Total,12640.58
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Mukdahan,    Higher education,5,    Technical Education,Total,8004.62
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 3,Northeastern  Region,Mukdahan,    Higher education,6,    Teacher Training,Total,4883.4
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Northeastern Region,    Higher education,4,    Academic,Total,655405.78
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Northeastern Region,    Higher education,5,    Technical Education,Total,471955.1
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Northeastern Region,    Higher education,6,    Teacher Training,Total,318830.37
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Nakhon Ratchasima,    Higher education,4,    Academic,Total,123046.61
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Nakhon Ratchasima,    Higher education,5,    Technical Education,Total,97346.17
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Nakhon Ratchasima,    Higher education,6,    Teacher Training,Total,27936.8
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Buri Ram,    Higher education,4,    Academic,Total,36857.95
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Buri Ram,    Higher education,5,    Technical Education,Total,7406.6
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Buri Ram,    Higher education,6,    Teacher Training,Total,26968.55
