province_id,province,Type of Construction,2014,2015,2016,2017,2018,2019,2020,2021,2022
62,Lop Buri,Fence / wall,763,5041,284,400,5395,583,5829,1683,4003
62,Lop Buri,Road,197,,359,1035,0,0,1345,0,1479
62,Lop Buri,Bridge,,,,0,0,0,0,0,28
62,Lop Buri,Dam,637,,,1828,0,0,0,0,0
62,Lop Buri,Water drain,4061,3674,0,3091,4227,3332,3082,768,1519
62,Lop Buri,Others,425,145,,42,64,30,0,0,0
62,Lop Buri,Engineering construction measured in area,18169,11545,1288,6190,6203,8530,7366,338,6646
62,Lop Buri,Swimming pool,,205,0,100,0,380,960,0,21
62,Lop Buri,Petrol station (Oil/LPG/NGV),,686,,306,2056,1876,6,7,0
62,Lop Buri,Harbour,,,,0,0,0,0,0,0
62,Lop Buri,Sport ground,,,0,0,0,0,0,0,0
62,Lop Buri,Car park,,7605,0,1597,925,369,1180,0,1979
62,Lop Buri,Advertisting board,20,435,58,1222,1375,100,1231,119,2903
62,Lop Buri,Phone Antenna,,,,,,389,329,212,16
62,Lop Buri,Others,18149,2614,1230,2965,1847,5416,3660,0,1727
49,Singburi,Engineering construction measured in length,,25,,1210,0,0,128,890,765
49,Singburi,Fence / wall,,25,,0,0,0,128,890,765
49,Singburi,Road,,,,0,0,0,0,0,0
49,Singburi,Bridge,,,,0,0,0,0,0,0
49,Singburi,Dam,,,,1170,0,0,0,0,0
49,Singburi,Water drain,,,,0,0,0,0,0,0
49,Singburi,Others,,,,40,0,0,0,0,0
49,Singburi,Engineering construction measured in area,283,529,852,9082,183,1498,1159,80,440
49,Singburi,Swimming pool,,,,0,0,0,0,0,205
49,Singburi,Petrol station (Oil/LPG/NGV),,,,0,0,0,1060,0,0
49,Singburi,Harbour,,,,0,0,0,0,0,0
49,Singburi,Sport ground,,,,0,0,0,0,0,0
49,Singburi,Car park,,529,,8780,0,1471,0,0,101
49,Singburi,Advertisting board,13,,,147,0,27,0,80,20
49,Singburi,Phone Antenna,,,,,,0,99,0,0
49,Singburi,Others,270,,852,155,183,0,0,0,114
