province_id,province-org,province,year,GINIW_province,gdppc,construction_gdp,construction_share,roadlength,allconstruction_length,allconstruction_lengthpc,edu_graduate (total),edu_graduate,total_gdp,agri_gdp,agri_share,manu_gdp,manu_share,knowledge_service_gdp,knowledge_service_share,total_area,urban_modis,total_pop,pop_density,incomegroup
20,Kalasin,Kalasin,2018,0.26645744,46222,1815.877426,0.049045955,0,1868,0.002332085,271426,0.338858926,37024000000,7237.820865,0.195489976,7024.342975,0.189724043,3738.290844,0.100969394,6872.625577,51.02058955,801000,116.5493436,0
20,Kalasin,Kalasin,2019,0.26058382,45300,1779.042183,0.049275487,0,5445,0.00683187,272208,0.341540778,36104000000,6884.35948,0.190681351,7011.787801,0.19421083,3740.317702,0.10359843,6872.625577,51.02058955,797000,115.9673244,0
20,Kalasin,Kalasin,2020,0.2661505,43643,1902.273122,0.055034663,1908,10575,0.013352273,271762,0.343133838,34565000000,6776.740052,0.196057864,5318.934739,0.153882099,3821.60189,0.110562763,6872.625577,51.02058955,792000,115.2398004,0
20,Kalasin,Kalasin,2021,0.27755103,45368,2011.385471,0.056262531,0,6363,0.008074873,298970,0.379403553,35750000000,6787.97654,0.18987347,6211.376338,0.173744793,3917.968383,0.109593521,6872.625577,51.02058955,788000,114.6577812,0
36,Kam Phaeng Phet,Kam Phaeng Phet,2014,0.3994154,74881,1437.455765,0.024330254,0,4066,0.005153359,139849,0.177248416,59081000000,9896.010577,0.167499037,16223.09674,0.274590761,2826.229397,0.047836519,8474.278354,18.8172245,789000,93.10527304,0
36,Kam Phaeng Phet,Kam Phaeng Phet,2015,0.35949838,77276,1242.682543,0.02043348,600,15117,0.019208386,170110,0.216149936,60816000000,8837.746511,0.145319431,19717.62331,0.324217695,3174.381847,0.052196492,8474.278354,18.8172245,787000,92.86926475,0
36,Kam Phaeng Phet,Kam Phaeng Phet,2016,0.37977195,82396,1513.671825,0.023402109,0,1267,0.001614013,242975,0.309522293,64681000000,8110.890617,0.125398349,25237.68746,0.390187033,3242.206614,0.050126105,8474.278354,18.8172245,785000,92.63325645,0
36,Kam Phaeng Phet,Kam Phaeng Phet,2017,0.35758975,83635,1372.872259,0.020964363,1930,6594,0.008421456,257241,0.328532567,65486000000,9197.938093,0.140456557,23486.17201,0.358644168,3353.044987,0.051202471,8474.278354,18.8172245,783000,92.39724815,0
36,Kam Phaeng Phet,Kam Phaeng Phet,2018,0.35219154,87439,1452.469642,0.021269141,2678,7810,0.01,257279,0.329422535,68290000000,10247.80599,0.150063054,24115.76158,0.353137525,3552.655293,0.052023068,8474.278354,18.8172245,781000,92.16123986,0
36,Kam Phaeng Phet,Kam Phaeng Phet,2019,0.35778818,89836,1555.601856,0.022171572,7869,13420,0.017183099,258766,0.331326504,70162000000,9587.060631,0.136641781,26606.93227,0.379221406,3617.592144,0.051560562,8474.278354,18.8172245,781000,92.16123986,0
36,Kam Phaeng Phet,Kam Phaeng Phet,2020,0.35943681,82572,2098.788398,0.032544905,2838,8154,0.010440461,287147,0.367665813,64489000000,7963.731464,0.123489765,23321.70941,0.361638565,3734.591857,0.057910525,8474.278354,18.8172245,781000,92.16123986,0
36,Kam Phaeng Phet,Kam Phaeng Phet,2021,0.33484441,81036,2110.613702,0.033348824,5749,8247,0.010559539,314464,0.402642766,63289000000,8178.969611,0.129232088,22483.1806,0.355246261,3546.190551,0.056031705,8474.278354,19.24507512,781000,92.16123986,0
73,Kanchanaburi,Kanchanaburi,2014,0.53656113,71139,1565.004046,0.026993067,1180,3675,0.004509202,264057,0.323996319,57978000000,11203.84349,0.193243014,16606.98394,0.286435957,3202.563073,0.055237557,19620.41338,49.4032089,815000,41.53837048,0
73,Kanchanaburi,Kanchanaburi,2015,0.52263921,71198,1574.485268,0.027034431,0,1515,0.001852078,310951,0.380135697,58240000000,10728.25063,0.1842076,16196.30426,0.278095884,3853.857269,0.066172,19620.41338,49.4032089,818000,41.69127246,0
73,Kanchanaburi,Kanchanaburi,2016,0.52198786,71521,1843.446303,0.03135646,0,0,0,281697,0.34269708,58790000000,9987.590659,0.169885876,16085.12763,0.273603123,4569.48083,0.077725478,19620.41338,49.4032089,822000,41.89514176,0
73,Kanchanaburi,Kanchanaburi,2017,0.51093119,73279,2159.558537,0.035721752,0,2343,0.00284,270536,0.327922424,60455000000,10544.10574,0.174412468,16092.79241,0.266194565,4770.624352,0.07891199,19620.41338,49.4032089,825000,42.04804374,0
73,Kanchanaburi,Kanchanaburi,2018,0.50745869,82084,2763.906708,0.040617016,2800,6294,0.00759228,287776,0.347136309,68048000000,12498.95246,0.183678469,18808.96552,0.276407323,4849.180729,0.071261179,19620.41338,49.4032089,829000,42.25191304,0
73,Kanchanaburi,Kanchanaburi,2019,0.50550443,82706,2976.826153,0.043364889,1860,2775,0.003343373,289195,0.348427711,68646000000,13321.55687,0.194061662,17434.05192,0.253970398,5026.94225,0.073229937,19620.41338,49.4032089,830000,42.30288037,0
73,Kanchanaburi,Kanchanaburi,2020,0.5064742,76210,2985.818842,0.047089735,888,1430,0.00171875,342927,0.412171875,63407000000,11291.57615,0.178080908,15607.28614,0.246144529,4618.926542,0.072845688,19620.41338,49.4032089,832000,42.40481502,0
73,Kanchanaburi,Kanchanaburi,2021,0.50902081,77421,2999.68464,0.046512508,0,1216,0.001459784,373664,0.44857623,64492000000,11825.54594,0.18336454,16468.17715,0.255352248,4586.533409,0.071117866,19620.41338,49.4032089,833000,42.45578235,0
15,Khon Kaen,Khon Kaen,2014,0.5378409,72260,5118.092184,0.040944737,405,75380,0.043597455,667044,0.385797571,1.25E+11,10799.77651,0.086398212,52481.81006,0.41985448,8287.569455,0.066300556,10765.33812,89.45511316,1729000,160.6080534,0
15,Khon Kaen,Khon Kaen,2015,0.52368128,73342,5465.179405,0.043032909,0,29312,0.016982619,680668,0.39436153,1.27E+11,9997.600279,0.078721262,51104.92807,0.402401008,8911.116874,0.070166275,10765.33812,90.31081949,1726000,160.3293813,0
15,Khon Kaen,Khon Kaen,2016,0.52840567,73575,5246.970309,0.041314727,23,509,0.000295415,690610,0.40081834,1.27E+11,10477.3822,0.082499072,47460.84712,0.373707458,9535.634712,0.075083738,10765.33812,90.31081949,1723000,160.0507091,0
15,Khon Kaen,Khon Kaen,2017,0.4873893,76715,4956.433068,0.037548735,2803,15585,0.009055782,668449,0.388407321,1.32E+11,10788.45847,0.081730746,50362.48409,0.38153397,10083.18271,0.076387748,10765.33812,90.9526058,1721000,159.8649277,0
15,Khon Kaen,Khon Kaen,2018,0.47518355,79656,4971.811374,0.036290594,0,3411,0.001985448,674905,0.392843423,1.37E+11,11466.94998,0.083700365,51990.7428,0.379494473,10932.20903,0.079797146,10765.33812,90.9526058,1718000,159.5862555,0
15,Khon Kaen,Khon Kaen,2019,0.47649172,78770,4985.884863,0.03693248,0,1868,0.001088578,732944,0.427123543,1.35E+11,10021.91091,0.074236377,49332.96024,0.365429335,11836.79757,0.087679982,10765.33812,91.16653387,1716000,159.4004741,0
15,Khon Kaen,Khon Kaen,2020,0.45903483,76391,5293.796693,0.040410662,213,7114,0.004150525,756002,0.441074679,1.31E+11,10450.55854,0.079775256,43166.49496,0.329515229,11896.54827,0.090813346,10765.33812,91.59437466,1714000,159.2146926,0
