id,Province,Year,Student (persons),Student (thousands)
59,Nakhon Si Thammarat,2018,"774,008",774.008
59,Nakhon Si Thammarat,2019,"797,585",797.585
59,Nakhon Si Thammarat,2020,"854,595",854.595
59,Nakhon Si Thammarat,2021,"995,556",995.556
70,Nan,2014,"137,999",137.999
70,Nan,2015,"201,963",201.963
70,Nan,2016,"193,545",193.545
70,Nan,2017,"167,427",167.427
70,Nan,2018,"184,317",184.317
70,Nan,2019,"217,226",217.226
70,Nan,2020,"244,618",244.618
70,Nan,2021,"221,376",221.376
40,Narathiwat,2014,"235,224",235.224
40,Narathiwat,2015,"216,601",216.601
40,Narathiwat,2016,"198,277",198.277
40,Narathiwat,2017,"230,320",230.32
40,Narathiwat,2018,"263,740",263.74
40,Narathiwat,2019,"253,504",253.504
40,Narathiwat,2020,"243,992",243.992
40,Narathiwat,2021,"248,861",248.861
3,Nongbua Lamphu,2014,"95,783",95.783
3,Nongbua Lamphu,2015,"124,134",124.134
3,Nongbua Lamphu,2016,"133,818",133.818
3,Nongbua Lamphu,2017,"133,446",133.446
3,Nongbua Lamphu,2018,"134,091",134.091
3,Nongbua Lamphu,2019,"135,358",135.358
3,Nongbua Lamphu,2020,"174,051",174.051
3,Nongbua Lamphu,2021,"171,632",171.632
13,Nong Khai,2014,"122,020",122.02
13,Nong Khai,2015,"120,966",120.966
13,Nong Khai,2016,"157,415",157.415
13,Nong Khai,2017,"175,254",175.254
13,Nong Khai,2018,"180,188",180.188
13,Nong Khai,2019,"184,560",184.56
13,Nong Khai,2020,"169,320",169.32
13,Nong Khai,2021,"191,491",191.491
38,Nonthaburi,2014,"1,940,618",1940.618
38,Nonthaburi,2015,"1,858,072",1858.072
38,Nonthaburi,2016,"1,875,864",1875.864
38,Nonthaburi,2017,"1,959,487",1959.487
38,Nonthaburi,2018,"1,919,098",1919.098
38,Nonthaburi,2019,"2,024,878",2024.878
38,Nonthaburi,2020,"2,215,719",2215.719
38,Nonthaburi,2021,"2,362,227",2362.227
58,Pathum Thani,2014,"1,091,435",1091.435
58,Pathum Thani,2015,"1,247,848",1247.848
58,Pathum Thani,2016,"1,260,139",1260.139
58,Pathum Thani,2017,"1,312,036",1312.036
58,Pathum Thani,2018,"1,467,631",1467.631
58,Pathum Thani,2019,"1,429,598",1429.598
58,Pathum Thani,2020,"1,352,072",1352.072
58,Pathum Thani,2021,"1,394,384",1394.384
57,Pattani,2014,"222,154",222.154
57,Pattani,2015,"226,539",226.539
57,Pattani,2016,"238,886",238.886
57,Pattani,2017,"247,785",247.785
57,Pattani,2018,"215,446",215.446
57,Pattani,2019,"206,177",206.177
57,Pattani,2020,"241,839",241.839
57,Pattani,2021,"235,681",235.681
56,Phangnga,2014,"114,675",114.675
56,Phangnga,2015,"115,374",115.374
56,Phangnga,2016,"125,847",125.847
56,Phangnga,2017,"135,793",135.793
56,Phangnga,2018,"147,830",147.83
56,Phangnga,2019,"148,029",148.029
56,Phangnga,2020,"138,197",138.197
56,Phangnga,2021,"138,927",138.927
55,Phatthalung,2014,"231,875",231.875
55,Phatthalung,2015,"231,708",231.708
55,Phatthalung,2016,"261,105",261.105
55,Phatthalung,2017,"268,163",268.163
55,Phatthalung,2018,"258,993",258.993
55,Phatthalung,2019,"286,411",286.411
55,Phatthalung,2020,"324,630",324.63
55,Phatthalung,2021,"334,099",334.099
1,Phayao,2014,"119,101",119.101
1,Phayao,2015,"134,830",134.83
1,Phayao,2016,"152,519",152.519
1,Phayao,2017,"163,906",163.906
1,Phayao,2018,"186,551",186.551
1,Phayao,2019,"202,244",202.244
1,Phayao,2020,"195,986",195.986
1,Phayao,2021,"174,912",174.912
8,Phetchaburi,2014,"233,080",233.08
8,Phetchaburi,2015,"239,905",239.905
8,Phetchaburi,2016,"227,629",227.629
8,Phetchaburi,2017,"245,814",245.814
8,Phetchaburi,2018,"255,738",255.738
8,Phetchaburi,2019,"274,114",274.114
8,Phetchaburi,2020,"289,586",289.586
8,Phetchaburi,2021,"275,113",275.113
10,Phetchabun,2014,"213,785",213.785
10,Phetchabun,2015,"305,211",305.211
10,Phetchabun,2016,"323,704",323.704
10,Phetchabun,2017,"311,190",311.19
10,Phetchabun,2018,"336,135",336.135
10,Phetchabun,2019,"349,018",349.018
10,Phetchabun,2020,"357,544",357.544
10,Phetchabun,2021,"454,107",454.107
54,Phichit,2014,"182,894",182.894
54,Phichit,2015,"174,944",174.944
54,Phichit,2016,"191,380",191.38
54,Phichit,2017,"214,876",214.876
54,Phichit,2018,"213,966",213.966
54,Phichit,2019,"212,134",212.134
54,Phichit,2020,"262,705",262.705
54,Phichit,2021,"261,375",261.375
21,Phitsanulok,2014,"414,344",414.344
21,Phitsanulok,2015,"440,044",440.044
21,Phitsanulok,2016,"432,872",432.872
21,Phitsanulok,2017,"444,308",444.308
21,Phitsanulok,2018,"418,803",418.803
21,Phitsanulok,2019,"449,066",449.066
21,Phitsanulok,2020,"513,607",513.607
21,Phitsanulok,2021,"558,689",558.689
53,Phra Nakhon Sri Ayuthaya,2014,"629,027",629.027
53,Phra Nakhon Sri Ayuthaya,2015,"535,331",535.331
53,Phra Nakhon Sri Ayuthaya,2016,"583,846",583.846
53,Phra Nakhon Sri Ayuthaya,2017,"605,364",605.364
53,Phra Nakhon Sri Ayuthaya,2018,"594,334",594.334
53,Phra Nakhon Sri Ayuthaya,2019,"590,730",590.73
