id,shapeISO,region,province,year,total_sol,mean_sol,gpp(millions),gdp,"population(1,000 persons)",pop,gdppc
49,TH-17,CE,Singburi,2016,7252.0986,1.7745,15547,15547000000,194,194000,80139
49,TH-17,CE,Singburi,2017,8250.7287,2.0189,16219,16219000000,192,192000,84474
49,TH-17,CE,Singburi,2018,8716.113,2.1328,16854,16854000000,190,190000,88705
49,TH-17,CE,Singburi,2019,9002.7411,2.2029,16717,16717000000,189,189000,88450
49,TH-17,CE,Singburi,2020,9305.8011,2.277,15455,15455000000,187,187000,82647
49,TH-17,CE,Singburi,2021,10520.0082,2.5742,15615,15615000000,186,186000,83952
4,TH-24,EA,Chachoengsao,2014,28064.4256,1.0606,247978,248000000000,768,768000,322888
4,TH-24,EA,Chachoengsao,2015,30468.6073,1.1515,241205,241000000000,781,781000,308841
4,TH-24,EA,Chachoengsao,2016,32194.3158,1.2167,254902,255000000000,792,792000,321846
4,TH-24,EA,Chachoengsao,2017,36108.0582,1.3646,251683,252000000000,806,806000,312262
4,TH-24,EA,Chachoengsao,2018,36129.323,1.3654,282186,282000000000,823,823000,342875
4,TH-24,EA,Chachoengsao,2019,37661.5717,1.4233,278107,278000000000,840,840000,331080
4,TH-24,EA,Chachoengsao,2020,40027.8005,1.5127,244573,245000000000,858,858000,285050
4,TH-24,EA,Chachoengsao,2021,46394.9298,1.7534,283475,283000000000,875,875000,323971
71,TH-22,EA,Chanthaburi,2014,9933.6373,0.3432,54023,54023000000,518,518000,104292
71,TH-22,EA,Chanthaburi,2015,11223.2001,0.3877,53348,53348000000,526,526000,101422
71,TH-22,EA,Chanthaburi,2016,11963.7774,0.4133,50992,50992000000,535,535000,95312
71,TH-22,EA,Chanthaburi,2017,14040.6407,0.4851,59777,59777000000,544,544000,109884
71,TH-22,EA,Chanthaburi,2018,15411.7439,0.5324,52768,52768000000,553,553000,95421
71,TH-22,EA,Chanthaburi,2019,16644.2151,0.575,55829,55829000000,557,557000,100232
71,TH-22,EA,Chanthaburi,2020,17607.046,0.6083,58915,58915000000,561,561000,105018
71,TH-22,EA,Chanthaburi,2021,18737.6217,0.6473,58347,58347000000,566,566000,103087
64,TH-20,EA,Chon Buri,2014,92436.6275,4.3936,509968,510000000000,1675,1675000,304459
64,TH-20,EA,Chon Buri,2015,96072.646,4.5664,532759,533000000000,1706,1706000,312285
64,TH-20,EA,Chon Buri,2016,102715.415,4.8821,565535,566000000000,1735,1735000,325957
64,TH-20,EA,Chon Buri,2017,111268.0068,5.2887,578224,578000000000,1782,1782000,324480
64,TH-20,EA,Chon Buri,2018,114312.4053,5.4334,590360,590000000000,1819,1819000,324552
